volume,leaf,pencil,caption_english,caption_latin,orientation,note
IV,422,345,Little Crake,Zapornia pusilla (Steph.),landscape,
V,14,346,Snow Goose,Anser hyperboreus (Pall.),landscape,
V,18,347,Grey Lag Wild Goose,Anser palustris (Flem.),landscape,
V,22,348,Bean Goose,Anser segetum (Steph.),landscape,
V,26,349,White-fronted Goose,Anser albifrons (Steph.),landscape,
V,30,350,Bernicle Goose,Anser leucopsis (Bechst.),landscape,
V,34,351,Red-breasted Goose,Anser ruficollis (Pall.),landscape,
V,38,352,Brent Goose,Anser Brenta (Flem.),landscape,
V,42,353,Egyptian Goose,Chenalopex Ægyptiaca (Steph.),landscape,
V,46,354,Domestic Swan,Cygnus mansuetus (Gmel.),landscape,matches known ground truth for this volume
V,50,355,Whistling Swan,Cygnus ferus (Ray.),landscape,
V,54,356,Bewick's Swan,Cygnus Bewickii (Yarr.),landscape,
V,58,357,Common Shieldrake,Anas tadorna (Linn.); Tadorna vulpanser (Flem.),landscape,composite plate with two names/authorities
V,62,358,Ruddy Shieldrake,Tadorna rutila (Steph.); Anas Casarka (Linn.),landscape,composite plate with two names/authorities
V,66,359,Wigeon,Anas Penelope (Linn.); Mareca Penelope (Selby),landscape,composite plate with two names/authorities
V,70,360,Shoveller Duck,Anas clypeata (Linn.); Rynchapsis clypeata (Leach),landscape,composite plate with two names/authorities
V,74,361,Common Wild Duck,Anas Boschas (Linn.),landscape,
V,78,362,Common Teal,Anas crecca (Linn.); Querquedula crecca (Steph.),landscape,composite plate with two names/authorities
V,82,363,Bimaculated Teal,Anas glocitans (Pall.); Querquedula glocitans (Vigors),landscape,composite plate with two names/authorities
V,86,364,Gargany Teal,Anas querquedula (Linn.); Querquedula circia (Steph.),landscape,composite plate with two names/authorities
V,90,365,Pintail Duck,Anas acuta (Linn.); Dafila caudacuta (Leach),landscape,composite plate with two names/authorities
V,94,366,Gadwall,Anas strepera (Linn.); Chauliodes strepera (Swains.),landscape,composite plate with two names/authorities
V,98,367,Red-headed Pochard,Anas ferina (Linn.); Fuligula ferina (Steph.),landscape,composite plate with two names/authorities
V,102,368,White-eyed or Castaneous Duck,Anas leucopthalmos (Bechst.); Fuligula ___ (Steph.),landscape,"engraved caption itself leaves the Fuligula species epithet blank (printed underscore, not a legibility issue)"
V,106,369,Red-crested Duck,Anas rufina (Pallas); Fuligula rufina (Steph.),landscape,composite plate with two names/authorities
V,110,370,Tufted Duck,Anas cristata (Ray); Fuligula cristata (Steph.),landscape,composite plate with two names/authorities
V,114,371,Scaup Pochard,Fuligula marila (Steph.); Anas marila (Linn.),landscape,composite plate with two names/authorities
V,118,372,Western Duck,Anas Dispar (Gmel.); Fuligula Dispar (Steph.),landscape,composite plate with two names/authorities
V,122,373,Marbled Duck,Anas (Fuligula?) marmorata (Temm.),landscape,
V,126,374,Eider Duck,Anas mollissima (Linn.); Somateria mollissima (Leach),landscape,composite plate with two names/authorities
V,130,375,King Duck,Anas spectabilis (Linn.); Somateria spectabilis (Leach),landscape,composite plate with two names/authorities
V,134,376,Surf Scoter,Anas perspicillata (Linn.); Oidemia perspicillata (Flem.),landscape,composite plate with two names/authorities
V,138,377,Velvet Scoter,Oidemia fusca (Flem.),landscape,
V,142,378,Black Scoter,Anas nigra (Linn.); Oidemia nigra (Flem.),landscape,composite plate with two names/authorities
V,146,379,Golden Eye,Anas clangula (Linn.); Clangula vulgaris (Leach),landscape,caption bears a small male (♂) sex symbol above the title
V,150,380,Barrow's Duck,Clangula Barrovii (Swains. & Rich.),landscape,
V,154,381,Harlequin Duck,Anas histrionica (Linn.); Clangula ___ (Leach),landscape,engraved caption leaves the Clangula species epithet blank (printed underscore)
V,158,382,Long Tailed Duck,Anas glacialis (Linn.); Harelda ___ (Leach),landscape,engraved caption leaves the Harelda species epithet blank (printed underscore)
V,162,383,White-headed Duck,Undina leucocephala (Mihi),landscape,
V,166,384,Goosander,Mergus Merganser (Linn.),landscape,
V,170,385,Red Breasted Merganser,Mergus serrator (Meyer),landscape,pencil digits faint/at an angle but consistent with sequence
V,174,386,Hooded Merganser,Mergus Cucullatus (Linn.),landscape,
V,178,387,Smew,Mergus albellus (Linn.),landscape,
V,182,388,Great Crested Grebe,Podiceps cristatus (Lath.),landscape,pencil digits faint/at an angle but consistent with sequence
V,186,389,Red-necked Grebe,Podiceps rubricollis (Lath.),landscape,
V,190,390,Horned Grebe,Podiceps cornutus (Lath.),landscape,
V,194,391,Eared Grebe,Podiceps auritus (Linn.),landscape,
V,198,392,Little Grebe,Podiceps minor (Linn.),landscape,
V,202,393,Northern Diver,Colymbus glacialis (Linn.),landscape,
V,206,394,Black-throated Diver,Colymbus arcticus (Linn.),landscape,
V,210,395,Red-throated Diver,Colymbus septentrionalis (Linn.),landscape,
V,214,396,Foolish Guillemot,Uria Troile (Lath.),portrait,
V,218,397,Bridled Guillemot,Uria lachrymans (Lapyl.),portrait,
V,222,398,Brunnich's Guillemot,Uria Brunnichii (Sabine),landscape,
V,226,399,Black Guillemot,Uria grylle (Lath.),portrait,
V,230,400,Great Auk,Alca impennis (Linn.),landscape,"artwork credited ""E. Lear del."" (Edward Lear)"
V,234,401,Razor-bill Auk,Alca Torda (Linn.),portrait,
V,238,402,Little Auk,Alca alle (Linn.); Mergulus alle (Bon.),portrait,composite plate with two names/authorities
V,242,403,Puffin,Mormon Fratercula (Temm.),portrait,
V,246,404,Northern Puffin,Mormon glacialis (Leach),portrait,
V,250,405,Pelican,Pelecanus Onocrotalus (Linn.),landscape,"artwork credited ""E. Lear del."" (Edward Lear)"
V,254,406,Dalmatian Pelican,Pelecanus crispus (Feld.),landscape,"artwork credited ""E. Lear del."" (Edward Lear)"
V,258,407,Common Cormorant,,landscape,"Latin binomial could not be found; only ""COMMON CORMORANT."" is legible on the printed caption after extensive close inspection of the full leaf image, no second (italic) line was located near the caption or elsewhere on the page"
V,262,408,Black Cormorant,Phalacrocorax graculus (Meyer),landscape,
V,266,409,Little Cormorant,Carbo pygmæus (Temm.),landscape,
V,270,410,Shag or Green Cormorant,Phalacrocorax cristatus (Steph. Flem.),landscape,
V,274,411,Desmarest's Cormorant,Phalacrocorax Desmarestii,landscape,"artwork credited ""E. Lear del. et lith."" (Edward Lear)"
V,278,412,Solan Gannet,Sula Bassana (Briss.),landscape,
V,282,413,Black-tailed Gannet,Sula melanura (Temm.),landscape,"artwork credited ""E. Lear del. et lith."" (Edward Lear)"
V,286,414,Caspian Tern,Sterna Caspia (Linn.),landscape,
V,290,415,Sandwich Tern,Sterna cantiaca (Gmel.),landscape,
V,294,416,Gull Billed Tern,Sterna Anglica (Montagu),landscape,
V,298,417,Common Tern,Sterna Hirundo (Linn.),landscape,
V,302,418,Roseate Tern,Sterna Dougallii (Mont.),landscape,
V,306,419,Arctic Tern,Sterna Arctica (Temm.),landscape,
V,310,420,Little Tern,Sterna minuta (Linn.),landscape,
V,314,421,Noddy Tern,Sterna stolida (Linn.),landscape,
V,318,422,Black Tern,Sterna nigra (Linn.); Viralva nigra (Leach),landscape,composite plate with two names/authorities
V,322,423,White-winged Tern,Sterna leucoptera (Linn.); Viralva leucoptera (Leach),landscape,composite plate with two names/authorities
V,326,424,Moustache Tern,Sterna leucopareia (Natt.); Viralva leucopareia (Steph.),landscape,composite plate with two names/authorities
V,330,425,Laughing Gull,Xema ridibundus (Boje),landscape,
V,334,426,Black-winged Gull,Larus atricilla (Linn.),landscape,
V,338,427,Black Headed Gull,Xema melanocephalus (Boje),landscape,
V,342,428,Little Gull,Xema minutus (Boje),landscape,
V,346,429,Sabine's Gull,Xema Sabinii (Leach),landscape,
V,350,430,Great Black-backed Gull,Larus marinus (Linn.),landscape,"artwork credited ""E. Lear del. et lith."" (Edward Lear)"
V,354,431,Lesser Black-backed Gull,Larus fuscus (Linn.),landscape,
V,358,432,Glaucous Gull,Larus glaucus (Brunn.),landscape,"artwork credited ""Edw.d Lear del. et lith."" (Edward Lear)"
V,362,433,Iceland Gull,Larus Islandicus (Edmonston),landscape,
V,366,434,Herring Gull,Larus Argentatus (Brunn.),landscape,
V,370,435,Kittiwake Gull,Larus Rissa (Linn.),landscape,
V,374,436,Ivory Gull,Larus eburneus (Gmel.),landscape,
V,378,437,Common Gull,Larus canus (Linn.),landscape,
V,382,438,Audouin's Gull,Larus Audouinii (Temm.),landscape,"artwork credited ""E. Lear del. et lith."" (Edward Lear)"
V,386,439,Skua Gull,Lestris catarractes (Temm.),landscape,
V,390,440,Pomerine Gull,Lestris pomerinus (Temm.),landscape,
V,394,441,Richardson's Lestris,Lestris Richardsonii (Swains.),landscape,
V,398,442,Parasitic Gull,Lestris parasiticus (Ill. Temm.),landscape,
V,402,443,Manks Shearwater,Puffinus Anglorum (Ray),landscape,
V,406,444,Dusky Shearwater,Puffinus obscurus,landscape,
V,410,445,Cinereous Shearwater,Puffinus cinereus? (Steph.),landscape,question mark is part of the printed caption (species questioned by Gould)
V,414,446,Fulmar Petrel,Procellaria glacialis (Linn.),landscape,
V,418,447,"Fork-tailed Storm-Petrel, Common Storm-Petrel",Thalassidroma Leachii; Thalassidroma pelagica (Selby),landscape,composite plate with two full species (two English names and two Latin names/authorities)
V,422,448,Bulwer's Petrel,Thalassidroma? Bulwerii,landscape,question mark after genus is part of the printed caption
