plate,figure,printed_name,printed_latin,scientific,common,ebird_code,taxonomy,wikidata,gbif,avibase,birdnet_label,form,confidence,caption_checked,reason,sources
85,,Pallas's Water Ouzel,Cinclus Pallasii,Cinclus pallasii,Brown Dipper,brodip1,eBird/Clements 2025,Q1034960,5231774,4E5EB9872F37E3A1,Cinclus pallasii_Brown Dipper,,high,yes,Pallas's (Brown) Dipper,General List (vol. I); engraved caption on the leaf; crosswalk
86,,Rock Thrush,Petrocincla saxatilis,Monticola saxatilis,Rufous-tailed Rock-Thrush,rtrthr1,eBird/Clements 2025,Q235057,2490956,736D38E7F9967842,Monticola saxatilis_Rufous-tailed Rock-Thrush,,high,yes,Rock Thrush,General List (vol. I); engraved caption on the leaf; crosswalk
87,,Blue Thrush,Petrocincla cyanea,Monticola solitarius,Blue Rock-Thrush,burthr,eBird/Clements 2025,Q152144,2490955,41D76F4B19ACB4BD,Monticola solitarius_Blue Rock-Thrush,,high,yes,Petrocincla cyanea = Blue Rock Thrush,General List (vol. I); engraved caption on the leaf; crosswalk
88,,Black Wheatear,Saxicola cachinnans,Oenanthe leucura,Black Wheatear,blawhe1,eBird/Clements 2025,Q856062,5231236,1C98EA2F8CD4DD15,Oenanthe leucura_Black Wheatear,,high,yes,Saxicola cachinnans Temm. = Black Wheatear O. leucura,General List (vol. I); engraved caption on the leaf; crosswalk
89,,Pied Wheatear,Saxicola leucomela,Oenanthe pleschanka,Pied Wheatear,piewhe1,eBird/Clements 2025,Q763538,5231233,2FB34D83,Oenanthe pleschanka_Pied Wheatear,,high,yes,Saxicola leucomela Temm. = Pied Wheatear O. pleschanka,General List (vol. I); engraved caption on the leaf; crosswalk
90,,Wheatear,Saxicola Œnanthe,Oenanthe oenanthe,Northern Wheatear,norwhe,eBird/Clements 2025,Q26420,5231240,DF526047637004DD,Oenanthe oenanthe_Northern Wheatear,,high,yes,Saxicola Œnanthe Bechst. = Oenanthe oenanthe (Northern Wheatear); same species,General List (vol. I); engraved caption on the leaf; crosswalk
91,,Russet Wheatear,Saxicola stapazina,,,,,,,,,subspecies,low,no,"Temminck's stapazina (Russet Wheatear) is the black-throated morph of the Black-eared Wheatear, now split Western (O. hispanica) / Eastern (O. melanoleuca); cannot tell from the name which population Gould figured. Blank",General List (vol. I); crosswalk
92,,Black-eared Wheatear,Saxicola aurita,,,,,,,,,subspecies,low,no,"Pale-throated morph of the Black-eared Wheatear, now split Western (O. hispanica) / Eastern (O. melanoleuca); population not determinable from the list. Blank",General List (vol. I); crosswalk
93,,Whinchat,Saxicola rubetra,Saxicola rubetra,Whinchat,whinch1,eBird/Clements 2025,Q155869,2492521,A0EDAEA2E89A9A96,Saxicola rubetra_Whinchat,,high,yes,Saxicola rubetra Bechst. = Saxicola rubetra (Whinchat); same species,General List (vol. I); engraved caption on the leaf; crosswalk
94,,Stonechat,Saxicola rubicola,Saxicola rubicola,European Stonechat,stonec4,eBird/Clements 2025,Q838665,4408759,0EA8F8B905405FB3,Saxicola rubicola_European Stonechat,,high,yes,European Stonechat (split from African/Siberian),General List (vol. I); engraved caption on the leaf; crosswalk
95,,Redstart,Phoenicura ruticilla,Phoenicurus phoenicurus,Common Redstart,comred2,eBird/Clements 2025,Q26620,5739317,06DD9D954313582E,Phoenicurus phoenicurus_Common Redstart,,high,yes,Common Redstart,General List (vol. I); engraved caption on the leaf; crosswalk
96,,Black Redstart,Phoenicura tithys,Phoenicurus ochruros,Black Redstart,blared1,eBird/Clements 2025,Q26755,5739315,612B5C244E272075,Phoenicurus ochruros_Black Redstart,,high,yes,Phoenicura tithys = Black Redstart,General List (vol. I); engraved caption on the leaf; crosswalk
97,,Blue-throated Warbler,Phoenicura Suecica,Luscinia svecica,Bluethroat,blueth,eBird/Clements 2025,Q26578,4408732,AFD6FD811AA7D6A7,Luscinia svecica_Bluethroat,,high,yes,Blue-throated Warbler = Bluethroat,General List (vol. I); engraved caption on the leaf; crosswalk
98,,Robin,Erythaca rubecula,Erithacus rubecula,European Robin,eurrob1,eBird/Clements 2025,Q25334,2492462,C809B2B90399A43D,Erithacus rubecula_European Robin,,high,yes,Erythaca rubecula Swains. = Erithacus rubecula (European Robin); same species,General List (vol. I); engraved caption on the leaf; crosswalk
99,,Alpine Accentor,Accentor alpinus,Prunella collaris,Alpine Accentor,alpacc1,eBird/Clements 2025,Q208334,5231770,A783468FC167312E,Prunella collaris_Alpine Accentor,,high,yes,"Accentor alpinus Bechst. = Prunella collaris (Alpine Accentor); same species, older binomial",General List (vol. I); engraved caption on the leaf; crosswalk
100,,Hedge Accentor,Accentor modularis,Prunella modularis,Dunnock,dunnoc1,eBird/Clements 2025,Q26698,5231763,26530C865C4A655C,Prunella modularis_Dunnock,,high,yes,Hedge Accentor = Dunnock,General List (vol. I); engraved caption on the leaf; crosswalk
101,,Mountain Accentor,Accentor montanellus,Prunella montanella,Siberian Accentor,sibacc,eBird/Clements 2025,Q163049,5231759,D32200407D81F285,Prunella montanella_Siberian Accentor,,high,yes,Siberian Accentor,General List (vol. I); engraved caption on the leaf; crosswalk
102,,Reed Locustelle,Locustella fluviatilis,Locustella fluviatilis,River Warbler,eurwar2,eBird/Clements 2025,Q747787,2493549,2B020CA0ACF13B19,Locustella fluviatilis_River Warbler,,high,yes,River Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
103,,Brake Locustelle,Locustella avicula,Locustella naevia,Common Grasshopper Warbler,cogwar1,eBird/Clements 2025,Q208710,2493548,BC0E4C9F87721B1A,Locustella naevia_Common Grasshopper-Warbler,,high,yes,Locustella avicula Ray = Grasshopper Warbler L. naevia,General List (vol. I); engraved caption on the leaf; crosswalk
104,,Willow Locustelle,Locustella luscinoïdes,Locustella luscinioides,Savi's Warbler,savwar1,eBird/Clements 2025,Q321272,2493551,2D46BB9888C846D0,Locustella luscinioides_Savi's Warbler,,high,yes,Savi's Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
105,,Creeping Locustelle,Locustella certhiola,Helopsaltes certhiola,Pallas's Grasshopper Warbler,pagwar1,eBird/Clements 2025,Q1345750,2493556,4C3CF429E3FEFBA2,Helopsaltes certhiola_Pallas's Grasshopper Warbler,,high,yes,Pallas's Grasshopper Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
106,,Great Sedge Warbler,Salicaria Turdoïdes,Acrocephalus arundinaceus,Great Reed Warbler,grrwar1,eBird/Clements 2025,Q180835,2493128,B283E33243C17D97,Acrocephalus arundinaceus_Great Reed Warbler,,high,yes,Salicaria turdoides = Great Reed Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
107,,Olive-tree Salicaria,Salicaria Olivetorum,Hippolais olivetorum,Olive-tree Warbler,oltwar1,eBird/Clements 2025,Q63835,2493219,791DED180041E350,Hippolais olivetorum_Olive-tree Warbler,,high,yes,Salicaria Olivetorum Strickl. = Hippolais olivetorum (Olive-tree Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
108,,Reed Wren,Salicaria arundinacea,Acrocephalus scirpaceus,Common Reed Warbler,eurwar1,eBird/Clements 2025,Q159080,2493118,4B3E6D256004B252,Acrocephalus scirpaceus_Eurasian Reed Warbler,,high,yes,Reed Wren/Salicaria arundinacea = Eurasian Reed Warbler. Trap: modern A. arundinaceus is the Great Reed Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
109,,Marsh Warbler,Salicaria palustris,Acrocephalus palustris,Marsh Warbler,marwar3,eBird/Clements 2025,Q210422,2493136,B675E006C3745A12,Acrocephalus palustris_Marsh Warbler,,high,yes,Salicaria palustris = Acrocephalus palustris (Marsh Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
110,,Sedge Warbler,Salicaria Phragmitis,Acrocephalus schoenobaenus,Sedge Warbler,sedwar1,eBird/Clements 2025,Q27236,2493129,FED5AED5C59A00B6,Acrocephalus schoenobaenus_Sedge Warbler,,high,yes,Salicaria phragmitis = Sedge Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
111,1. Moustached Warbler.,Moustached Warbler,Salicaria melanopogon,Acrocephalus melanopogon,Moustached Warbler,mouwar1,eBird/Clements 2025,Q385273,2493124,E1559C49B1A6C31F,Acrocephalus melanopogon_Moustached Warbler,,high,yes,Salicaria melanopogon = Acrocephalus melanopogon (Moustached Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
111,2. Aquatic Warbler.,Aquatic Warbler,Salicaria aquatica,Acrocephalus paludicola,Aquatic Warbler,aquwar1,eBird/Clements 2025,Q242599,2493114,C15141A60961F8BC,Acrocephalus paludicola_Aquatic Warbler,,high,yes,Salicaria aquatica = Aquatic Warbler A. paludicola,General List (vol. I); engraved caption on the leaf; crosswalk
112,,Rufous Sedge Warbler,Salicaria galactotes,Cercotrichas galactotes,Rufous-tailed Scrub-Robin,rutscr1,eBird/Clements 2025,,,,Cercotrichas galactotes_Rufous-tailed Scrub-Robin,,high,yes,Sylvia galactotes Temm. = Rufous-tailed Scrub Robin (Rufous Bush Chat); Gould placed it with the reed warblers,General List (vol. I); engraved caption on the leaf; crosswalk
113,,Fantail Warbler,Salicaria cisticola,Cisticola juncidis,Zitting Cisticola,zitcis1,eBird/Clements 2025,Q210791,2492822,AEE2063F66AE0C70,Cisticola juncidis_Zitting Cisticola,,high,yes,Fantail Warbler = Zitting Cisticola,General List (vol. I); engraved caption on the leaf; crosswalk
114,,Cetti's Warbler,Salicaria ? Cetti,Cettia cetti,Cetti's Warbler,cetwar1,eBird/Clements 2025,Q650114,2493012,F3E9CE954FAF5EF5,Cettia cetti_Cetti's Warbler,,high,yes,Salicaria ? Cetti = Cettia cetti (Cetti's Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
115,,Silky Warbler,Salicaria ? sericea,Cettia cetti,Cetti's Warbler,cetwar1,eBird/Clements 2025,Q650114,2493012,F3E9CE954FAF5EF5,Cettia cetti_Cetti's Warbler,variant,judged,no,"Sylvia sericea Natterer is a synonym of Cetti's Warbler; Gould figured it as a second species ('Silky Warbler'). Confirm the plate looks like Cetti's | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); crosswalk
116,,Nightingale,Philomela luscinia,Luscinia megarhynchos,Common Nightingale,comnig1,eBird/Clements 2025,Q25393,7660710,7C7F0DEE5B364038,Luscinia megarhynchos_Common Nightingale,,high,yes,Gould's Nightingale = Common Nightingale L. megarhynchos; his Thrush Nightingale is plate 117. Trap: modern Luscinia luscinia is the Thrush Nightingale,General List (vol. I); engraved caption on the leaf; crosswalk
117,,Thrush Nightingale,Philomela Turdoïdes,Luscinia luscinia,Thrush Nightingale,thrnig1,eBird/Clements 2025,Q206130,2492542,6EC667529FB53E43,Luscinia luscinia_Thrush Nightingale,,high,yes,Thrush Nightingale (Sprosser),General List (vol. I); engraved caption on the leaf; crosswalk
118,,Gorget Warbler,Calliope Lathamii,Calliope calliope,Siberian Rubythroat,sibrub,eBird/Clements 2025,Q27075678,6090081,786B0F98D1EE4C54,Calliope calliope_Siberian Rubythroat,,high,yes,Gorget Warbler / Calliope lathamii = Siberian Rubythroat,General List (vol. I); engraved caption on the leaf; crosswalk
119,,"Orpheus Warbler, Curruca Orphea",,Curruca crassirostris,Eastern Orphean Warbler,eaowar2,eBird/Clements 2025,Q110257499,11098086,37015E6154731355,Curruca crassirostris_Eastern Orphean Warbler,,judged,yes,pinned beside the crosswalk's row for this plate,engraved caption on the leaf; gould_europe.yaml
119,,Orpheus Warbler,Curruca Orphea,Curruca hortensis,Western Orphean Warbler,weowar2,eBird/Clements 2025,Q110257498,10630343,95E7E0E5E3481A63,Curruca hortensis_Western Orphean Warbler,,judged,yes,"Orphean Warbler, since split Western (C. hortensis) / Eastern (C. crassirostris). Temminck's orphea is based on southern French/Italian birds, so Western is probable, but Gould may have figured a Dalmatian/eastern bird | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); engraved caption on the leaf; crosswalk
120,,Black-cap,Curruca atricapilla,Sylvia atricapilla,Eurasian Blackcap,blackc1,eBird/Clements 2025,Q188446,2492956,61F9065BE0965E1A,Sylvia atricapilla_Eurasian Blackcap,,high,yes,Curruca atricapilla Bechst. = Sylvia atricapilla (Eurasian Blackcap); same species,General List (vol. I); engraved caption on the leaf; crosswalk
121,,Garden Warbler,Curruca hortensis,Sylvia borin,Garden Warbler,garwar1,eBird/Clements 2025,Q202478,2492942,A6A4FC63261EA8CD,Sylvia borin_Garden Warbler,,high,yes,Garden Warbler; Curruca hortensis Bechst. of Gould's day is Sylvia borin. Trap: modern Curruca hortensis is the Western Orphean Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
122,,Rüppell's Warbler,Curruca Ruppellii,,,,,,,,,,high,no,"Curruca Ruppellii = Curruca ruppeli, which is not a BirdNET V2.4 label; blank. Rüppell's Warbler",General List (vol. I); crosswalk
123,,Sardinian Warbler,Curruca melanocephala,Curruca melanocephala,Sardinian Warbler,sarwar1,eBird/Clements 2025,Q110257507,9990095,B0D094830E71F76A,Curruca melanocephala_Sardinian Warbler,,high,yes,Curruca melanocephala Lath. = Curruca melanocephala (Sardinian Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
124,,Sub-alpine Warbler,Curruca leucopogon,,,,,,,,,,low,no,"Subalpine Warbler, now split three ways (Western C. iberiae, Moltoni's C. subalpina, Eastern C. cantillans); leucopogon Meyer is an eastern name and BirdNET has only Western. Blank",General List (vol. I); crosswalk
125,1. Common White-throat.,Common White-throat,Curruca cinerea,Curruca communis,Greater Whitethroat,grewhi1,eBird/Clements 2025,Q110257516,10507373,14AFBA82D556918C,Curruca communis_Greater Whitethroat,,high,yes,Common Whitethroat,General List (vol. I); engraved caption on the leaf; crosswalk
125,2. Lesser White-throat.,Lesser White-throat,Curruca garrula,Curruca curruca,Lesser Whitethroat,leswhi4,eBird/Clements 2025,Q110257504,11034996,A99F93BCE984549A,Curruca curruca_Lesser Whitethroat,,high,yes,Lesser Whitethroat,General List (vol. I); engraved caption on the leaf; crosswalk
126,,Spectacle Warbler,Curruca conspicillata,Curruca conspicillata,Spectacled Warbler,spewar2,eBird/Clements 2025,,,BFECF5F8F49E2869,Curruca conspicillata_Spectacled Warbler,,high,yes,Curruca conspicillata = Curruca conspicillata (Spectacled Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
127,,Marmora's Warbler,Curruca Sarda,,,,,,,,,,high,no,"Curruca Sarda = Curruca sarda, which is not a BirdNET V2.4 label; blank. Marmora's Warbler",General List (vol. I); crosswalk
128,,Barred Warbler,Curruca nisoria,Curruca nisoria,Barred Warbler,barwar1,eBird/Clements 2025,Q104867606,10983621,1EA60B94FAFE0C5C,Curruca nisoria_Barred Warbler,,high,yes,Curruca nisoria = Curruca nisoria (Barred Warbler); same species,General List (vol. I); engraved caption on the leaf; crosswalk
129,,Dartford Warbler,Melizophilus provincialis,Curruca undata,Dartford Warbler,darwar1,eBird/Clements 2025,Q110257524,10355796,85629EF4042C9DBB,Curruca undata_Dartford Warbler,,high,yes,Dartford Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
130,,Wren,Troglodytes Europæus,Troglodytes troglodytes,Eurasian Wren,winwre4,eBird/Clements 2025,Q25740,5231438,11A4055E89689538,Troglodytes troglodytes_Eurasian Wren,,high,yes,Eurasian Wren,General List (vol. I); engraved caption on the leaf; crosswalk
131,1. Willow Wren.,Willow Wren,Sylvia trochilus,Phylloscopus trochilus,Willow Warbler,wlwwar,eBird/Clements 2025,Q27239,2493052,88F4B969622B8268,Phylloscopus trochilus_Willow Warbler,,high,yes,Willow Wren = Willow Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
131,2. Chiff-chaff.,Chiff-chaff,Sylvia rufa,Phylloscopus collybita,Common Chiffchaff,comchi1,eBird/Clements 2025,Q185784,2493091,458C8CBE3AABFD1E,Phylloscopus collybita_Common Chiffchaff,,high,yes,Sylvia rufa Lath. = Chiffchaff,General List (vol. I); engraved caption on the leaf; crosswalk
131,3. Wood Wren.,Wood Wren,Sylvia sibilatrix,Phylloscopus sibilatrix,Wood Warbler,woowar,eBird/Clements 2025,Q27075477,8128385,572C4C7FD4322D14,Phylloscopus sibilatrix_Wood Warbler,,high,yes,Wood Wren = Wood Warbler,General List (vol. I); engraved caption on the leaf; crosswalk
132,,Yellow Willow Wren,Sylvia Icterina,,,,,,,,,,low,no,"Vieillot's Sylvia icterina is nominally the Icterine Warbler, but Gould's 'Yellow Willow Wren' is set among the Phylloscopus and the Icterine seems to be his plate 133; the figure's identity is disputed. Blank",General List (vol. I); crosswalk
133,,Melodious Willow Wren,Sylvia Hippolais,Hippolais icterina,Icterine Warbler,ictwar1,eBird/Clements 2025,Q27674,2493220,869C978C8E5840C8,Hippolais icterina_Icterine Warbler,,judged,yes,"Temminck's Sylvia hippolais is the Icterine Warbler (Motacilla hippolais Linn.), but Gould's English 'Melodious Willow Wren' echoes the Melodious Warbler (H. polyglotta, lumped then); confirm on the plate (long primary projection = Icterine) | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); engraved caption on the leaf; crosswalk
133,,"Melodious Willow Wren, Sylvia Hippolais",,Hippolais polyglotta,Melodious Warbler,melwar1,eBird/Clements 2025,Q752539,2493214,DCDD1BCA24E978F5,Hippolais polyglotta_Melodious Warbler,,judged,yes,pinned beside the crosswalk's row for this plate,engraved caption on the leaf; gould_europe.yaml
134,,Natterer's Warbler,Sylvia Nattereri,Phylloscopus bonelli,Western Bonelli's Warbler,webwar1,eBird/Clements 2025,Q752489,2493070,C00674ED5FC9DB8A,Phylloscopus bonelli_Western Bonelli's Warbler,,judged,yes,"Sylvia nattereri Temm. = Bonelli's Warbler, now split Western (P. bonelli) / Eastern (P. orientalis). Gould's European bird is most likely western, but confirm | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); engraved caption on the leaf; crosswalk
134,,"Natterer's Warbler, Sylvia Nattereri",,Phylloscopus orientalis,Eastern Bonelli's Warbler,eabwar1,eBird/Clements 2025,Q805062,4408827,666F9FC9350991FD,Phylloscopus orientalis_Eastern Bonelli's Warbler,,judged,yes,pinned beside the crosswalk's row for this plate,engraved caption on the leaf; gould_europe.yaml
135,,Richard's Pipit,Anthus Richardi,Anthus richardi,Richard's Pipit,ricpip1,eBird/Clements 2025,Q904790,9465111,41ECD10E24E8772D,Anthus richardi_Richard's Pipit,,high,yes,Anthus Richardi Vieill. = Anthus richardi (Richard's Pipit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
136,,Meadow Pipit,Anthus pratensis,Anthus pratensis,Meadow Pipit,meapip1,eBird/Clements 2025,Q26956,2490266,14873249B607CEB1,Anthus pratensis_Meadow Pipit,,high,yes,Anthus pratensis Bechst. = Anthus pratensis (Meadow Pipit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
137,,Tawny Pipit,Anthus rufescens,Anthus campestris,Tawny Pipit,tawpip1,eBird/Clements 2025,Q27226,2490274,250CDA5828B68D0A,Anthus campestris_Tawny Pipit,,high,yes,Anthus rufescens Temm. = Tawny Pipit A. campestris,General List (vol. I); engraved caption on the leaf; crosswalk
138,,Rock or Shore Pipit,Anthus aquaticus,,,,,,,,,,low,no,"Anthus aquaticus Bechst. is the Water Pipit (A. spinoletta), but Gould's English ""Rock or Shore Pipit"" is the Rock Pipit (A. petrosus); the two were one species then and the plate could show either. Blank",General List (vol. I); crosswalk
139,,Tree Pipit,Anthus arboreus,Anthus trivialis,Tree Pipit,trepip,eBird/Clements 2025,Q143313,2490246,365F5E975B414FE6,Anthus trivialis_Tree Pipit,,high,yes,Tree Pipit,General List (vol. I); engraved caption on the leaf; crosswalk
140,,Red-throated Pipit,Anthus rufogularis,Anthus cervinus,Red-throated Pipit,retpip,eBird/Clements 2025,Q241347,2490283,319D044A667563CD,Anthus cervinus_Red-throated Pipit,,high,yes,Anthus rufogularis Temm. = Red-throated Pipit A. cervinus,General List (vol. I); engraved caption on the leaf; crosswalk
141,,Pied Wagtail,Motacilla Yarrellii,Motacilla alba,White Wagtail,whiwag,eBird/Clements 2025,Q25399,9687165,400E032C4624AA36,Motacilla alba_White Wagtail,subspecies,high,yes,"Pied Wagtail = M. alba yarrellii, a subspecies of White Wagtail",General List (vol. I); engraved caption on the leaf; crosswalk
142,,White-winged Wagtail,Motacilla lugubris,Motacilla alba,White Wagtail,whiwag,eBird/Clements 2025,Q25399,9687165,400E032C4624AA36,Motacilla alba_White Wagtail,subspecies,judged,no,"Pallas's lugubris is the black-backed (lugens) form of White Wagtail, once a species (Black-backed Wagtail), now in M. alba. Gould's figure may instead be a dark M. alba yarrellii; either way M. alba, but confirm it is not the Japanese Wagtail | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); crosswalk
143,,White Wagtail,Motacilla alba,Motacilla alba,White Wagtail,whiwag,eBird/Clements 2025,Q25399,9687165,400E032C4624AA36,Motacilla alba_White Wagtail,,high,no,Motacilla alba Linn. = Motacilla alba (White Wagtail); same species,General List (vol. I); crosswalk
144,,Yellow-headed Wagtail,Motacilla citreola,Motacilla citreola,Citrine Wagtail,citwag,eBird/Clements 2025,Q206540,2490307,5B0295C122B63ED3,Motacilla citreola_Citrine Wagtail,,high,yes,Motacilla citreola Pall. = Motacilla citreola (Citrine Wagtail); same species,General List (vol. I); engraved caption on the leaf; crosswalk
145,,Yellow Wagtail,Motacilla flava,Motacilla flava,Western Yellow Wagtail,eaywag1,eBird/Clements 2025,Q25984,9701857,5983D677,Motacilla flava_Western Yellow Wagtail,,high,yes,Yellow Wagtail (Western),General List (vol. I); engraved caption on the leaf; crosswalk
146,,Grey-headed Wagtail,Motacilla neglecta,Motacilla flava,Western Yellow Wagtail,eaywag1,eBird/Clements 2025,Q25984,9701857,5983D677,Motacilla flava_Western Yellow Wagtail,subspecies,high,no,"Grey-headed Wagtail, described by Gould, is M. flava thunbergi, a subspecies of Western Yellow Wagtail",General List (vol. I); crosswalk
147,,Grey Wagtail,Motacilla Boarula,Motacilla cinerea,Gray Wagtail,grywag,eBird/Clements 2025,Q201316,2490310,AE073221679039C2,Motacilla cinerea_Gray Wagtail,,high,yes,Grey Wagtail,General List (vol. I); engraved caption on the leaf; crosswalk
148,1. Fire-crested Wren.,Fire-crested Wren,Regulus ignicapillus,Regulus ignicapilla,Common Firecrest,firecr1,eBird/Clements 2025,Q27471,6093527,85B03849153146D8,Regulus ignicapilla_Common Firecrest,,high,yes,Firecrest,General List (vol. I); engraved caption on the leaf; crosswalk
148,2. Golden-crested Wren.,Golden-crested Wren,Regulus vulgaris,Regulus regulus,Goldcrest,goldcr1,eBird/Clements 2025,Q26657,2484596,A7CC62D6BD333F25,Regulus regulus_Goldcrest,,high,yes,Goldcrest,General List (vol. I); engraved caption on the leaf; crosswalk
149,,Dalmatian Regulus,Regulus modestus,Phylloscopus proregulus,Pallas's Leaf Warbler,palwar5,eBird/Clements 2025,Q752513,2493090,943E36CADFE7551B,Phylloscopus proregulus_Pallas's Leaf Warbler,,judged,yes,"Regulus modestus Gould (from a Dalmatian specimen) is a synonym of the Yellow-browed Warbler P. inornatus; Hume's (P. humei) is split but is not a European bird. Confirm | Decided 25 Sep 2026 on the review page, checked against Dresser and the KU catalogue (see gould_europe.yaml).",General List (vol. I); engraved caption on the leaf; crosswalk
150,,Great Tit,Parus major,Parus major,Great Tit,gretit1,eBird/Clements 2025,Q25485,9705453,7296BC772F2643AD,Parus major_Great Tit,,high,yes,Parus major Linn. = Parus major (Great Tit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
151,1. Sombre Tit.,Sombre Tit,Parus lugubris,Poecile lugubris,Sombre Tit,somtit3,eBird/Clements 2025,Q574281,2487857,3EDDBA595BCD215E,Poecile lugubris_Sombre Tit,,high,yes,Sombre Tit,General List (vol. I); engraved caption on the leaf; crosswalk
151,2. Siberian Tit.,Siberian Tit,Parus Sibericus,Poecile cinctus,Gray-headed Chickadee,gyhchi,eBird/Clements 2025,Q574447,2487862,67504FA2052E4CBB,Poecile cinctus_Gray-headed Chickadee,,high,yes,Siberian Tit = Grey-headed Chickadee,General List (vol. I); engraved caption on the leaf; crosswalk
152,,Toupet Tit,Parus bicolor,Baeolophus bicolor,Tufted Titmouse,tuftit,eBird/Clements 2025,Q738534,2487887,B488AB7003F21AE7,Baeolophus bicolor_Tufted Titmouse,,high,yes,Parus bicolor Linn. = Tufted Titmouse,General List (vol. I); engraved caption on the leaf; crosswalk
153,,Azure Tit,Parus cyanus,Cyanistes cyanus,Azure Tit,azutit2,eBird/Clements 2025,Q499283,2487877,5AE72E2455477176,Cyanistes cyanus_Azure Tit,,high,yes,Azure Tit,General List (vol. I); engraved caption on the leaf; crosswalk
154,,Blue Tit,Parus cœruleus,Cyanistes caeruleus,Eurasian Blue Tit,blutit,eBird/Clements 2025,Q25404,2487879,9BE53D340F9A4305,Cyanistes caeruleus_Eurasian Blue Tit,,high,yes,"Parus cœruleus Linn. = Cyanistes caeruleus (Eurasian Blue Tit); same species, older binomial",General List (vol. I); engraved caption on the leaf; crosswalk
155,1. Cole Tit.,Cole Tit,Parus ater,Periparus ater,Coal Tit,coatit2,eBird/Clements 2025,Q191096,2487871,166CD4402D4A416B,Periparus ater_Coal Tit,,high,yes,Parus ater Linn. = Periparus ater (Coal Tit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
155,2. Marsh Tit.,Marsh Tit,Parus palustris,Poecile palustris,Marsh Tit,martit2,eBird/Clements 2025,Q207838,2487843,523763E55D4A8153,Poecile palustris_Marsh Tit,,high,yes,"Marsh Tit (Willow Tit P. montanus, described 1827, was lumped; European Willow Tits in Britain went unrecognised till 1897)",General List (vol. I); engraved caption on the leaf; crosswalk
156,,Crested Tit,Parus cristatus,Lophophanes cristatus,Crested Tit,cretit2,eBird/Clements 2025,Q207831,2487883,E553193354C74B21,Lophophanes cristatus_Crested Tit,,high,yes,Parus cristatus Linn. = Lophophanes cristatus (Crested Tit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
157,,Long-tailed Tit,Parus caudatus,Aegithalos caudatus,Long-tailed Tit,lottit1,eBird/Clements 2025,Q170831,2495000,547163C22167E31B,Aegithalos caudatus_Long-tailed Tit,,high,yes,Parus caudatus Linn. = Aegithalos caudatus (Long-tailed Tit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
158,,"Bearded Tit, or Reed Bird",Calamophilus biarmicus,Panurus biarmicus,Bearded Reedling,bearee1,eBird/Clements 2025,Q192817,2493367,7D59F91D9548DCE7,Panurus biarmicus_Bearded Reedling,,high,yes,Bearded Tit = Bearded Reedling,General List (vol. I); engraved caption on the leaf; crosswalk
159,,Penduline Tit,Ægithalus pendulinus,Remiz pendulinus,Eurasian Penduline-Tit,euptit1,eBird/Clements 2025,Q273067,2487385,F81EB04951AA84BB,Remiz pendulinus_Eurasian Penduline-Tit,,high,yes,Ægithalus pendulinus Vig. = Remiz pendulinus (Eurasian Penduline-Tit); same species,General List (vol. I); engraved caption on the leaf; crosswalk
160,,Waxen Chatterer,Bombycivora garrula,Bombycilla garrulus,Bohemian Waxwing,bohwax,eBird/Clements 2025,Q26135,2484605,AEF821EC4625150E,Bombycilla garrulus_Bohemian Waxwing,,high,yes,Waxen Chatterer = Bohemian Waxwing,General List (vol. I); engraved caption on the leaf; crosswalk
161,,Black Lark,Alauda Tartarica,,,,,,,,,,high,no,"Alauda Tartarica = Melanocorypha yeltoniensis, which is not a BirdNET V2.4 label; blank. Alauda tatarica Pall. = Black Lark M. yeltoniensis",General List (vol. I); crosswalk
